Thread ID: 214780
Total: 6.709303

 %self     total     self     wait    child    calls  name
  0.14      0.71     0.01     0.00     0.70      100  Dependencies#load_missing_constant-1
  0.13      0.01     0.01     0.00     0.00      804  IO#write
  0.13      0.01     0.01     0.00     0.00     4400  Array#first
  0.13      0.01     0.01     0.00     0.00      700  <Class::Object>#method_added
  0.13      0.54     0.01     0.00     0.53      100  ActionController::Layout#render_without_benchmark
  0.13      0.05     0.01     0.00     0.04     1400  ActionView::Base#find_base_path_for
  0.13      0.01     0.01     0.00     0.00     4400  Kernel#object_id
  0.13      0.25     0.01     0.00     0.24      100  ActionController::Base#render_with_no_layout
  0.13      0.05     0.01     0.00     0.04      700  ActiveSupport::BufferedLogger#auto_flush
  0.13      0.03     0.01     0.00     0.03      100  CGI::Session#initialize_without_cgi_reader
  0.13      0.01     0.01     0.00     0.00     3800  String#concat
  0.13      0.57     0.01     0.00     0.56      100  Dependencies#require_or_load-1
  0.13      0.01     0.01     0.00     0.00     4201  <Class::Object>#allocate
  0.12      0.01     0.01     0.00     0.01      600  Inflector#constantize-1
  0.12      0.01     0.01     0.00     0.00      100  Kernel#load_without_new_constant_marking-1
  0.12      0.01     0.01     0.00     0.00     3500  String#+
  0.12      0.01     0.01     0.00     0.00      700  ActiveSupport::CoreExtensions::Array::Conversions#to_s
  0.12      0.02     0.01     0.00     0.01      100  ActionView::Base::CompiledTemplates#_run_erb_47app47views47widgets47index46html46erb
  0.12      0.17     0.01     0.00     0.16      300  Dependencies#loadable_constants_for_path
  0.12      0.01     0.01     0.00     0.01      600  Array#delete_if
  0.11      0.01     0.01     0.00     0.00     1200  Array#flatten
  0.11      0.01     0.01     0.00     0.00      100  <Module::SQLite3::Driver::Native::API>#sqlite3_close
  0.11      0.01     0.01     0.00     0.01      400  ActiveSupport::CoreExtensions::String::StartsEndsWith#ends_with?
  0.11      0.01     0.01     0.00     0.00     2000  String#inspect
  0.11      0.01     0.01     0.00     0.00     2700  Array#*
  0.11      0.45     0.01     0.00     0.45      100  Dependencies#new_constants_in-1
  0.11      0.07     0.01     0.00     0.07      400  Dependencies#search_for_file
  0.11      0.01     0.01     0.00     0.00     2800  Kernel#respond_to?
  0.11      0.07     0.01     0.00     0.06      100  ActionController::Base#log_processing
  0.11      0.13     0.01     0.00     0.13      100  <Class::ActiveRecord::Base>#construct_finder_sql
  0.11      0.01     0.01     0.00     0.00     1800  <Class::ActiveRecord::Base>#active_connections
  0.10      0.01     0.01     0.00     0.00     2700  <Class::Regexp>#escape
  0.10      0.01     0.01     0.00     0.00      602  <Module::Process>#times
  0.10      0.01     0.01     0.00     0.00     2400  String#gsub!
  0.10      1.05     0.01     0.00     1.04      200  <Class::ActiveRecord::Base>#retrieve_connection
  0.10      0.01     0.01     0.00     0.00     2406  Kernel#instance_variable_set
  0.10      0.01     0.01     0.00     0.00     3400  Kernel#hash
  0.10      0.04     0.01     0.00     0.03      200  Dependencies#autoloaded?
  0.10      0.01     0.01     0.00     0.00     3291  Array#empty?
  0.10      0.01     0.01     0.00     0.00     1100  ActionView::Base#template_format
  0.10      0.01     0.01     0.00     0.00      900  <Class::File>#directory?
  0.09      0.02     0.01     0.00     0.01      100  ActionController::AbstractResponse#handle_conditional_get!
  0.09      1.01     0.01     0.00     1.01      100  <Class::ActiveRecord::Base>#sqlite3_connection
  0.09      0.01     0.01     0.00     0.00      700  Module#module_eval-1
  0.09      0.04     0.01     0.00     0.03     1400  Enumerable#find
  0.09      0.01     0.01     0.00     0.00     3000  Object#initialize
  0.09      3.44     0.01     0.00     3.43      100  <Module::Benchmark>#measure-1
  0.09      0.12     0.01     0.00     0.12      200  ActionView::Base#compile_and_render_template
  0.09      0.01     0.01     0.00     0.01      200  ActionController::Base#render_for_text
  0.09      4.81     0.01     0.00     4.80      100  ActionController::Base#process_without_filters
  0.09      0.23     0.01     0.00     0.23      100  ActionController::Base#render_with_no_layout-1
  0.09      0.57     0.01     0.00     0.57      100  ActionController::Benchmarking#render
  0.09      0.04     0.01     0.00     0.04      100  ActionController::CgiResponse#out
  0.09      0.01     0.01     0.00     0.00     1500  <Module::Dependencies>#constant_watch_stack
  0.09      0.48     0.01     0.00     0.48      100  Dependencies#load_file-1
  0.09      0.01     0.01     0.00     0.00     2600  Hash#include?
  0.09      0.01     0.01     0.00     0.00      400  HashWithIndifferentAccess#convert_value
  0.09      0.01     0.01     0.00     0.00      300  Module#parent
  0.09      0.01     0.01     0.00     0.00     2200  String#upcase
  0.09      0.01     0.01     0.00     0.00     2700  Array#[]
  0.08      0.06     0.01     0.00     0.05      200  ActionController::MimeResponds::Responder#method_missing
  0.08      0.08     0.01     0.00     0.08      100  ActionController::Layout::ClassMethods#inherited_without_helper
  0.08      1.42     0.01     0.00     1.42      800  ActiveSupport::CoreExtensions::String::Inflections#constantize
  0.08      0.01     0.01     0.00     0.00     1400  ActionController::Base#logger
  0.08      0.01     0.01     0.00     0.00     2800  String#empty?
  0.08      0.01     0.01     0.00     0.00      600  ActionController::AbstractRequest#request_method
  0.08      0.01     0.01     0.00     0.00      400  Array#uniq!
  0.08      0.01     0.01     0.00     0.00      100  CGI::Cookie#initialize
  0.08      0.02     0.01     0.00     0.01      200  ActionView::Base#compile_template?
  0.08      0.01     0.01     0.00     0.01      100  CGI::Session::CookieStore#initialize
  0.08      0.08     0.01     0.00     0.08      100  ActionController::CgiRequest#stale_session_check!
  0.08      0.02     0.01     0.00     0.02      300  Dependencies#qualified_name_for
  0.08      0.01     0.01     0.00     0.00     2600  Array#<<
  0.08      0.01     0.01     0.00     0.00     2100  <Class::Hash>#allocate
  0.08      0.01     0.01     0.00     0.00      500  Kernel#instance_eval
  0.08      0.01     0.01     0.00     0.00      500  <Class::ActiveRecord::Base>#active_connection_name
  0.08      0.01     0.01     0.00     0.00     2200  Array#+
  0.08      0.01     0.01     0.00     0.00      802  <Class::Time>#now
  0.08      0.01     0.01     0.00     0.00      700  Hash#merge
  0.08      0.01     0.01     0.00     0.00     1300  ActionController::Base#response
  0.07      0.13     0.00     0.00     0.13      500  ActionView::Base#pick_template_extension
  0.07      0.00     0.00     0.00     0.00     2500  Kernel#==
  0.07      0.01     0.00     0.00     0.01      200  ActionController::Base#default_template_name
  0.07      0.00     0.00     0.00     0.00     2100  Hash#has_key?
  0.07      0.01     0.00     0.00     0.00      600  Set#<<
